Accession	Lat	Long
Crosbyton	33.666259	-101.159393
Armstrong	34.055008	-96.337883
Walnut Creek	31.01645	-96.705033
Lake Texana	29.058933	-96.579483
Collinsville	33.555002	-96.945902
Miles	31.542186	-100.178141
Kemp	32.3941	-96.2419
Navasota	30.4355	-96.063083
Stockdale	29.238056	-97.983056
Meers	34.751469	-98.635888
Waxahachie	32.331299	-96.856727
Mobeetie	35.603584	-100.326809
Evant	31.4283954	-98.1714735
Stampede	31.282951	-97.447328
Blooming Grove	32.0878	-96.7351
Lampasas	31.271083	-98.042067
Caldwell 3	30.25685231	-96.56919528
Putnam	32.267188	-99.161402
GlenRose	32.251957	-97.847904
Lampasas 3	31.253283	-98.033067
Lake Texana High	29.0591	-96.5772
Nacogdoches	31.65	-94.533333
Wills Point	32.6729	-96.1411
Bellville	29.910744	-96.250814
Lake Marvin	35.887864	-100.179944
Lavon	33.049912	-96.424018
Greenwood	35.195883	-94.2049
Caldwell 1	30.12613592	-96.60179283
Caldwell 2	30.14025634	-96.58829814
Eddy	31.29945	-97.248933
Newark	32.9835	-97.446
Lake Meredith	35.591725	-101.726786
Magazine	35.132817	-93.809867
Blue Ridge	33.273031	-96.297318
South San Gabriel	30.720638	-98.104906
South South Llano	30.362667	-99.889033
Buffalo Lake	34.908367	-102.149536
Christoval	31.212849	-100.500947
Caprock Canyon	34.417217	-101.071383
Anahuac	29.790867	-94.497783
Saltillo	33.227334	-95.336005
Jackson	28.9	-96.53
Caddo	34.067272	-96.324303
Austin	30.383086	-97.768431
Oatmeal	30.6882	-98.0909
Lampasas Low	31.266617	-98.046967
Caldwell	30.62765	-96.68415
Talpa	31.769489	-99.659464
Mesquite	32.822328	-96.624933
Caldwell 4	30.25863963	-96.5664845
Brenham 2	30.2715	-96.593367
Saginaw	32.895547	-97.365194
Brenham 1	30.314167	-96.27675
Valley Mills	31.661395	-97.482634
Bertram	30.723096	-98.09864
Spring Creek	30.800864	-96.510139
Ponder	33.133817	-97.289585
Scurry	32.483158	-96.415478
Benbrook	32.662455	-97.45899
Bumpers	35.075433	-93.992117
Hondo	29.378439	-99.126531
Viridian	32.790681	-97.100429
Jackson (extra)	28.9	-96.53
Austin (extra)	30.383086	-97.768431
Oatmeal (extra)	30.6882	-98.0909
Caldwell (extra)	30.62765	-96.68415
Benbrook (extra)	32.662455	-97.45899
Christoval (extra)	31.212849	-100.500947
Caprock Canyon (extra)	34.417217	-101.071383
Sadberry (extra)	30.765683	-96.507133
WMWR2 (extra) (formerly Meers)	34.751469	-98.635888
Randy's Place	31.376017	-98.180283
Angleton	29.176208	-95.404211
WMWR2 (formerly Meers)	34.751469	-98.635888
Brownwood	31.710923	-99.021797
Axtell	31.676991	-96.914712
Sadberry	30.765683	-96.507133
Scurry (extra)	32.483158	-96.415478
Viridian (extra)	32.790681	-97.100429
Brenham 2 (extra)	30.2715	-96.593367
Buda	30.055806	-97.933472
Buda	30.055806	-97.933472
Buda	30.055806	-97.933472
Buda	30.055806	-97.933472
Buda	30.055806	-97.933472
Buda	30.076360	-97.943323
Cab.	35.4486526	-80.4671597
Artesia	33.391836	-88.584435
Paris, TX	33.65749737	-95.541997832
Santa Claus, IN	38.52009809922221	-86.88050323712187
Stillwater, OK	36.12936555109634	-97.0736882433465
Turtle Creek, KS	39.353096278460434	-96.67084939142596
Bartlesville, OK	36.736546233987816	-95.93549422192534
Tushka, OK	34.320338330032946	-96.16593658301605
Woodward, OK	36.42888511638084	-99.39318799503388
Houston, TX	29.812467966680195	-95.39095231135234
Herrin, IL	37.80251129453666	-89.02748007145098
Manhattan, KS	39.18943341480968	-96.59450726546692
Lyndon, KS	38.61063194192783	-95.684019017086	
El Dorado, MO	37.87286381121651	-94.01784562357679	
Beckmeyer, IL	38.606446039026764	-89.43385857052553
Craig, OK	36.78199544213962	-95.1964434912928